,routing_nodes,total_capacity,num_channels,date
0,911,8054.71727209,92909.0,2022-09-01
1,909,8055.814622070002,92772.0,2022-09-03
2,926,8139.07462968,93774.0,2022-09-04
3,928,8192.82833133,93955.0,2022-09-05
4,926,8180.81342158,93853.0,2022-09-06
5,928,8214.88736994,93887.0,2022-09-07
6,931,8238.64783561,93999.0,2022-09-08
7,934,8262.48454277,94095.0,2022-09-09
8,932,8272.44274161,93704.0,2022-09-10
9,933,8303.78905489,93699.0,2022-09-11
10,936,8320.3056177,93859.0,2022-09-12
11,933,8339.16296166,93891.0,2022-09-13
12,930,8334.97521478,93858.0,2022-09-14
13,930,8370.36849309,94034.0,2022-09-15
14,930,8378.06495996,93878.0,2022-09-16
15,929,8404.09699498,93893.0,2022-09-17
16,925,8368.74013771,93552.0,2022-09-18
17,927,8386.775278250001,93612.0,2022-09-19
18,929,8415.264797200001,93871.0,2022-09-20
19,931,8446.49164852,94132.0,2022-09-21
20,932,8443.75896518,94226.0,2022-09-22
21,933,8454.94855682,94286.0,2022-09-23
22,934,8461.03507421,94227.0,2022-09-24
23,938,8492.9865373,94354.0,2022-09-25
24,937,8501.08174192,94190.0,2022-09-26
25,938,8560.24324846,94302.0,2022-09-27
26,935,8545.52868878,94081.0,2022-09-28
27,938,8581.31437978,94271.0,2022-09-29
28,938,8615.65244803,94328.0,2022-09-30
29,939,8725.91368771,94414.0,2022-10-04
30,944,8769.94619664,94696.0,2022-10-05
31,947,8808.9153251,94865.0,2022-10-06
32,947,8685.35248142,94538.0,2022-10-07
33,947,8746.945082279999,94619.0,2022-10-08
34,944,8778.4464256,94489.0,2022-10-09
35,947,8761.43892524,94480.0,2022-10-10
36,944,8767.649147289998,94239.0,2022-10-11
37,949,8826.650325049999,94387.0,2022-10-12
38,949,8784.185715990001,93988.0,2022-10-13
39,944,8789.40003658,93626.0,2022-10-14
40,935,8811.35362943,93229.0,2022-10-15
41,930,8831.421626629999,92897.0,2022-10-16
42,931,8818.08442241,92626.0,2022-10-17
43,927,8845.01169829,92482.0,2022-10-18
44,922,8801.52299677,91781.0,2022-10-19
45,927,8838.71038549,91542.0,2022-10-20
46,926,8871.049715,91446.0,2022-10-21
47,928,8947.34679882,91723.0,2022-10-22
48,930,8963.339202449999,91903.0,2022-10-23
49,928,8997.903710530001,91836.0,2022-10-24
50,924,9050.60098111,91622.0,2022-10-25
51,920,9058.72209548,91405.0,2022-10-26
52,914,9078.10416524,91010.0,2022-10-27
53,917,9160.20320569,90962.0,2022-10-28
54,910,9115.40397381,89917.0,2022-10-29
55,902,9054.37300759,89093.0,2022-10-30
56,907,9114.14382378,89464.0,2022-10-31
57,912,9129.55703679,89799.0,2022-11-01
58,910,9166.70793525,89624.0,2022-11-02
59,909,9141.12163595,89414.0,2022-11-03
60,906,9132.27199148,89106.0,2022-11-04
61,903,9128.63526295,88950.0,2022-11-05
62,904,9196.89034363,89054.0,2022-11-06
63,906,9213.77021755,89149.0,2022-11-07
64,907,9241.51208547,89378.0,2022-11-08
65,911,9186.53721876,89166.0,2022-11-09
66,906,9149.17425315,89040.0,2022-11-10
67,904,9107.38339233,89060.0,2022-11-11
68,900,9125.54290057,89033.0,2022-11-12
69,900,9144.148669989998,89150.0,2022-11-13
70,905,9133.30085797,89208.0,2022-11-14
71,901,9126.687175030002,88760.0,2022-11-15
72,901,9064.92737157,88441.0,2022-11-16
73,896,9069.49829608,88272.0,2022-11-17
74,893,9088.34981835,88336.0,2022-11-18
75,890,9152.82976394,88210.0,2022-11-19
76,897,9114.79008497,87892.0,2022-11-20
77,901,8938.25690992,87677.0,2022-11-21
78,902,8991.0539573,87734.0,2022-11-22
79,906,9009.92442975,88134.0,2022-11-23
80,904,9012.13975303,87985.0,2022-11-24
81,904,9030.82773406,88060.0,2022-11-25
82,907,9051.7072665,88173.0,2022-11-26
83,914,9128.70394868,88677.0,2022-11-27
84,913,9144.26929048,88832.0,2022-11-28
85,916,9107.16706608,88693.0,2022-11-30
86,915,9051.4870372,88329.0,2022-12-01
87,914,9045.3597992,88341.0,2022-12-02
88,914,9019.94710893,88255.0,2022-12-03
89,912,8983.13641156,88032.0,2022-12-04
90,911,9005.23503281,87854.0,2022-12-05
91,911,9029.8098919,87866.0,2022-12-06
92,910,9045.95106571,87869.0,2022-12-07
93,908,9027.42583774,87729.0,2022-12-08
94,908,9027.51252093,87723.0,2022-12-09
