,last_update,pub_key,alias,addresses,color,num_channels,total_capacity
0,1667397132.0,020003b9499a97c8dfbbab6b196319db37ba9c37bccb60477f3c867175f417988e,BJCR_BTCPayServer,"[{'network': 'tcp', 'addr': '95.217.192.209:9735'}]",#3399ff,33,1.69877759
1,1657199384.0,0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,OutaSpace 🚀,"[{'network': 'tcp', 'addr': '176.28.11.68:9760'}, {'network': 'tcp', 'addr': 'nzslu33ecbokyn32teza2peiiiuye43ftom7jvnuhsxdbg3vhw7w3aqd.onion:9760'}]",#123456,4,0.01273366
2,1665509269.0,0200081eaa41b5661d3b512f5aae9d6abfb11ba1497a354e9217d9a18fbaa1e76b,0200081eaa41b5661d3b,"[{'network': 'tcp', 'addr': 'lm63zodngkzqbol6lgadijh5p5xm6ltbekfxlbofvmnbkvi5cnzrzdid.onion:9735'}]",#3399ff,2,0.002
3,1667447775.0,020016201d389a44840f1f33be29288952f67c8ef6b3f98726fda180b4185ca6e2,AlasPoorYorick,"[{'network': 'tcp', 'addr': '7vuykfnmgkarlk4xjew4ea6lj7qwbbggbox4b72abupu7sn24geajzyd.onion:9735'}]",#604bee,16,0.3782
4,1667411884.0,02001828ca7eb8e44d4d78b5c1ea609cd3744be823c22cd69d895eff2f9345892d,nodl-lnd-s010-042,"[{'network': 'tcp', 'addr': '185.150.160.210:4042'}]",#000000,2,0.002
5,1667403581.0,02001bcff2e27f6aa2aa8e68c7e5944bcbf5daf4954963e5a1ce2ab6f5386d0342,a8933f1a19c6,"[{'network': 'tcp', 'addr': '18.215.247.182:9735'}]",#3399ff,1,0.0009
6,1667428281.0,0200232177944d5e2ddf5b203843050dee40c4b7f343356499ed9aeb4eb154fd4e,skyskiff,"[{'network': 'tcp', 'addr': '6b4f5feemouvzlyg5z4yn5qgvuam2535lowhsvak6ci5nhufgk6noqad.onion:9735'}]",#3399ff,43,1.32
7,1667431704.0,02003141a383097ddeb8b7fa02312acc16a89d65670554fc77c4168f2d1de5e6ee,02003141a383097ddeb8,"[{'network': 'tcp', 'addr': '3amkyoxebn6jibs5jttwtpt4tms33nawlknqqpjcgmbt5uktzqhieeqd.onion:9735'}]",#3399ff,3,0.05938839
8,1667435058.0,02003da11e078c1f6358dedd6583bdafda8f1ebc674b9d7b82a66445f8cd1a64e0,start9-0x1e55891093e05411,"[{'network': 'tcp', 'addr': '2f36gav263oe342gedidftmkyumc6oz6ctijzdrxpyokj275w73x7nad.onion:9735'}]",#02f734,2,0.002
9,1667403666.0,02003e11a6b742fe6341b48b8a1f365012aecd49c367817bbb28bd00399904b74b,EndTheECB,"[{'network': 'tcp', 'addr': 'v5jk5jkx3fuqwpqkgvkx7u5d4ltyhtkebsh5bw4osx7i4o3kfp6n3byd.onion:9735'}]",#68f442,11,0.16990775
10,1572938717.0,0200424bd89b5282c310e10a52fd783070556f947b54d93f73fd89534ce0cba708,WHENBTC,"[{'network': 'tcp', 'addr': '67.166.1.116:9735'}]",#3399ff,10,0.1927824
11,1667460528.0,02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c,LND2,"[{'network': 'tcp', 'addr': '172.81.178.151:9735'}, {'network': 'tcp', 'addr': 'yocrhxpg2hkof6xeaz4zsjtwmbbcu6xvwvb7dazf2lkbslwylkqzrwad.onion:9735'}]",#3399ff,345,3.490338
12,0.0,020055cfd1c07c63530ff4471eabd2b286efd9a493137215bab684590c62d27ba4,,[],#000000,1,0.03
13,0.0,02005dcac896582db30f259c17bba1849a9e1127f60d120ec7db69c17ce64d749d,,[],#000000,1,0.001
14,1667283821.0,020060ce06e5130c55900c4c4b0d6bc34e72f94d948854b6e0670f154472d014ec,PharLap,"[{'network': 'tcp', 'addr': 'kxpr7j4jpcaup7k6xbdj53mq2tdm6anukvz765satbqi7orjezj7qcad.onion:9735'}]",#3399ff,26,0.85469136
15,1667404435.0,0200630ced43cd3f86bcf8fc85cb4d6304bdb0fa7cb11b05b502501cd5d50cfe38,Btix,"[{'network': 'tcp', 'addr': '533cmpophuqj34raqw3z26fruxaxr4dtrd2jws7lbwbzkh3rgyrneyqd.onion:9735'}]",#3399ff,4,0.01745945
16,1667411899.0,02006a7dc99e2db1e73baf8da79646034412b9770ffc7536ce75c71e91b923f59a,Daniel_Finans[NodeNor],"[{'network': 'tcp', 'addr': '3e4655yydec7jj7zxlxik4ortghrziui4xl7c6tkj34w5ggh52nj7pad.onion:9735'}]",#f8cecc,13,0.31
17,0.0,02006b7be7ea4b7cdf181c5c7b338e80904f13173220eb07e991a268e518a35b4a,,[],#000000,9,0.01470151
18,0.0,02008955e7da2d42f4753fe462333f8c7207140368937131a3d28897a3fc83296d,,[],#000000,3,0.00401991
